"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
groovedpegdom_hand,comprehensive_neuropsych_assessment_328741,,dropdown,"<div class=""rich-text-field-label""><p>Dominant hand<br /><span style=""font-weight: normal;"">(hand used for GPD)</span></p></div>","1, 1-Right | 2, 2-Left",,,,,,,y,,,,,
groovedpegdom_pegs,comprehensive_neuropsych_assessment_328741,,text,"<div class=""rich-text-field-label""><p>GPD number of pegs in<br /><span style=""font-weight: normal;"">(typically 25, unless completion time >=240)</span></p></div>",,,integer,0,25,,,y,,,,,
groovedpegdom_drops,comprehensive_neuropsych_assessment_328741,,text,"GPD number of pegs dropped",,,integer,0,25,,,y,,,,,
groovedpegnondom,comprehensive_neuropsych_assessment_328741,"Grooved Pegboard - Non-Dominant (GPN)",text,"GPN time (seconds)",,,integer,0,240,,,y,,,,,
groovedpegnondom_hand,comprehensive_neuropsych_assessment_328741,,dropdown,"<div class=""rich-text-field-label""><p>Non-dominant hand<br /><span style=""font-weight: normal;"">(hand used for GPN)</span></p></div>","1, 1-Right | 2, 2-Left",,,,,,,y,,,,,
handcheck,comprehensive_neuropsych_assessment_328741,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">Check handedness. If dominant hand is right, non-dominant hand should be left, and vice versa.</span></p></div>",,,,,,,"([groovedpegdom_hand]=1 and [groovedpegnondom_hand]=1) or
([groovedpegdom_hand]=2 and [groovedpegnondom_hand]=2)",,,,,,
groovedpegnondom_pegs,comprehensive_neuropsych_assessment_328741,,text,"<div class=""rich-text-field-label""><p>GPN number of pegs in<br /><span style=""font-weight: normal;"">(typically 25, unless completion time >=240)</span></p></div>",,,integer,0,25,,,y,,,,,
groovedpegnondom_drops,comprehensive_neuropsych_assessment_328741,,text,"GPN number of pegs dropped",,,integer,0,25,,,y,,,,,
bvmtform,comprehensive_neuropsych_assessment_328741,BVMT-R,dropdown,"BVMT-R Form","1, 1 (top left = pentagon) | 2, 2 (top left = triangle) | 3, 3 (top left = vertical hexagon) | 4, 4 (top left = trapezoid) | 5, 5 (top left = horizontal hexagon) | 6, 6 (top left = ellipse)",,,,,,,y,,,,,
bvmt1,comprehensive_neuropsych_assessment_328741,,text,"BVMT-R Trial 1",,,integer,0,12,,,y,,,,,
bvmt2,comprehensive_neuropsych_assessment_328741,,text,"BVMT-R Trial 2",,,integer,0,12,,,y,,,,,
bvmt3,comprehensive_neuropsych_assessment_328741,,text,"BVMT-R Trial 3",,,integer,0,12,,,y,,,,,
bvmtdelay,comprehensive_neuropsych_assessment_328741,,text,"BVMT-R Delayed Recall",,,integer,0,12,,,y,,,,,
bvmthits,comprehensive_neuropsych_assessment_328741,,text,"BVMT-R Recognition Hits",,,integer,0,6,,,y,,,,,
bvmtfalsepos,comprehensive_neuropsych_assessment_328741,,text,"BVMT-R Recognition False Alarms",,,integer,0,6,,,y,,,,,
bvmtcopy,comprehensive_neuropsych_assessment_328741,,text,"BVMT-R Copy",,,integer,0,12,,,y,,,,,
wais4digsymcoding,comprehensive_neuropsych_assessment_328741,Coding,text,"WAIS-IV Digit Symbol Coding total correct",,,integer,0,135,,,y,,,,,
rocftime,comprehensive_neuropsych_assessment_328741,Visuoconstruction,text,"Rey-Osterrieth Complex Figure copy completion time (seconds)",,,integer,0,999,,,y,,,,,
rocfcheck,comprehensive_neuropsych_assessment_328741,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">CHECK ROCF DATA ENTRY. Completion time is very low, suggesting data may have been entered incorrectly.</span></p></div>",,,,,,,[rocftime]<=36,,,,,,
rocf,comprehensive_neuropsych_assessment_328741,,text,"Rey-Osterrieth Complex Figure copy score",,,number,0,36,,,y,,,,,
clockcommand1,comprehensive_neuropsych_assessment_328741,,text,"<div class=""rich-text-field-label""><p>Clock Drawing Command<span style=""font-weight: normal;""> (Scoring Method 1: Rouleau)</span></p></div>",,,integer,0,10,,,y,,,,,
clockcopy1,comprehensive_neuropsych_assessment_328741,,text,"<div class=""rich-text-field-label""><p>Clock Drawing Copy<span style=""font-weight: normal;""> (Scoring Method 1: Rouleau)</span></p></div>",,,number,0,10,,,y,,,,,
clockcommand2,comprehensive_neuropsych_assessment_328741,,text,"<div class=""rich-text-field-label""><p>Clock Drawing Command<span style=""font-weight: normal;""> (Scoring Method 2: Schretlen)</span></p></div>",,,integer,0,5,,,y,,,,,
clockcopy2,comprehensive_neuropsych_assessment_328741,,text,"<div class=""rich-text-field-label""><p>Clock Drawing Copy<span style=""font-weight: normal;""> (Scoring Method 2: Schretlen)</span></p></div>",,,integer,0,5,,,y,,,,,
mwcstcat,comprehensive_neuropsych_assessment_328741,M-WCST,text,"M-WCST Categories Correct",,,integer,0,6,,,y,,,,,
mwcstpersev,comprehensive_neuropsych_assessment_328741,,text,"M-WCST Perseverative Errors",,,integer,0,42,,,y,,,,,
mwcsterrors,comprehensive_neuropsych_assessment_328741,,text,"M-WCST Total Errors",,,integer,0,47,,,y,,,,,
hvltform,comprehensive_neuropsych_assessment_328741,HVLT-R,dropdown,"HVLT-R Form","1, 1 (lion...) | 2, 2 (fork...) | 3, 3 (sugar...) | 4, 4 (canary...) | 5, 5 (teacher...) | 6, 6 (shark...)",,,,,,,y,,,,,
hvlt1,comprehensive_neuropsych_assessment_328741,"HVLT-R Trial 1",text,"HVLT-R Trial 1 Correct",,,integer,0,12,,,y,,,,,
hvlt1pers,comprehensive_neuropsych_assessment_328741,,text,"HVLT-R Trial 1 Perseverations",,,integer,0,25,,,y,,,,,
hvlt1intr,comprehensive_neuropsych_assessment_328741,,text,"HVLT-R Trial 1 Intrusions",,,integer,0,25,,,y,,,,,
hvlt2,comprehensive_neuropsych_assessment_328741,"HVLT-R Trial 2",text,"HVLT-R Trial 2 Correct",,,integer,0,12,,,y,,,,,
hvlt2pers,comprehensive_neuropsych_assessment_328741,,text,"HVLT-R Trial 2 Perseverations",,,integer,0,25,,,y,,,,,
hvlt2intr,comprehensive_neuropsych_assessment_328741,,text,"HVLT-R Trial 2 Intrusions",,,integer,0,25,,,y,,,,,
hvlt3,comprehensive_neuropsych_assessment_328741,"HVLT-R Trial 3",text,"HVLT-R Trial 3 Correct",,,integer,0,12,,,y,,,,,
hvlt3pers,comprehensive_neuropsych_assessment_328741,,text,"HVLT-R Trial 3 Perseverations",,,integer,0,25,,,y,,,,,
hvlt3intr,comprehensive_neuropsych_assessment_328741,,text,"HVLT-R Trial 3 Intrusions",,,integer,0,25,,,y,,,,,
hvltdelay,comprehensive_neuropsych_assessment_328741,"HVLT-R Delayed Recall",text,"HVLT-R Delayed Recall Correct",,,integer,0,12,,,y,,,,,
hvltdelaypers,comprehensive_neuropsych_assessment_328741,,text,"HVLT-R Delayed Recall Perseverations",,,integer,0,25,,,y,,,,,
hvltdelayintr,comprehensive_neuropsych_assessment_328741,,text,"HVLT-R Delayed Recall Intrusions",,,integer,0,25,,,y,,,,,
hvltcheck,comprehensive_neuropsych_assessment_328741,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">CHECK HVLT-R DATA ENTRY. Errors outnumber correct items, suggesting data may have been entered incorrectly.</span></p></div>",,,,,,,"mean([hvlt1pers],[hvlt1intr]) >
mean([hvlt3],[hvltdelay])",,,,,,
hvlthits,comprehensive_neuropsych_assessment_328741,"HVLT-R Recognition",text,"HVLT-R Recognition Hits",,,integer,0,12,,,y,,,,,
hvltfalsepos,comprehensive_neuropsych_assessment_328741,,text,"HVLT-R Recognition False Alarms",,,integer,0,12,,,y,,,,,
bnt30,comprehensive_neuropsych_assessment_328741,"Boston Naming Test-30 (BNT-30)",text,"BNT-30 Total (count only spontaneous responses)",,,integer,0,30,,,y,,,,,
bnt30scue,comprehensive_neuropsych_assessment_328741,,text,"BNT-30 additional correct with semantic cue",,,integer,0,30,,,y,,,,,
bnt30pcue,comprehensive_neuropsych_assessment_328741,,text,"BNT-30 additional correct with phonemic cue",,,integer,0,30,,,y,,,,,
bnt30check,comprehensive_neuropsych_assessment_328741,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">CHECK BNT DATA ENTRY. Cued responses outnumber spontaneous responses, suggesting data may have been entered incorrectly.</span></p></div>",,,,,,,"([bnt30scue] or [bnt30pcue]) > [bnt30]",,,,,,
faq,comprehensive_neuropsych_assessment_328741,Questionnaires,text,"FAQ Total Score",,,integer,0,30,,,y,,,,,
cesdr,comprehensive_neuropsych_assessment_328741,,text,"CESD-R Total Score",,,integer,0,80,,,y,,,,,
paofi1mem,comprehensive_neuropsych_assessment_328741,"PAOFI

SCALE I: Memory",radio,"1. How often do you forget something that has been told to you within the last day or two?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paofimem,,
paofi2mem,comprehensive_neuropsych_assessment_328741,,radio,"2. How often do you forget events which have occurred in the last day or two?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paofimem,,
paofi3mem,comprehensive_neuropsych_assessment_328741,,radio,"3. How often do you forget people whom you met in the last day or two?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paofimem,,
paofi4mem,comprehensive_neuropsych_assessment_328741,,radio,"4. How often do you forget things that you knew a year or more ago?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paofimem,,
paofi5mem,comprehensive_neuropsych_assessment_328741,,radio,"5. How often do you forget people whom you knew or met a year or more ago?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paofimem,,
paofi6mem,comprehensive_neuropsych_assessment_328741,,radio,"6. How often do you lose track of time, or do things either earlier or later than they are usually done or are supposed to be done?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paofimem,,
paofi7mem,comprehensive_neuropsych_assessment_328741,,radio,"7. How often do you fail to finish something you start because you forgot that you were doing it? (Include such things as forgetting to put out cigarettes, turning off the stove, etc.)","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paofimem,,
paofi8mem,comprehensive_neuropsych_assessment_328741,,radio,"8. How often do you fail to complete a task that you start because you have forgotten how to do one or more aspects of it?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paofimem,,
paofi9mem,comprehensive_neuropsych_assessment_328741,,radio,"9. How often do you lose things or have trouble remembering where they are?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paofimem,,
paofi10mem,comprehensive_neuropsych_assessment_328741,,radio,"10. How often do you forget things that you are supposed to do or have agreed to do (such as putting gas in the car, paying bills, taking care of errands, etc.)?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paofimem,,
paofi11lang,comprehensive_neuropsych_assessment_328741,"SCALE II: Language and Communication",radio,"11. How often do you have difficulties understanding what is said to you?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paofilang1,,
paofi12lang,comprehensive_neuropsych_assessment_328741,,radio,"12. How often do you have difficulties recognizing or identifying printed words?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paofilang1,,
paofi13lang,comprehensive_neuropsych_assessment_328741,"SCALE II: Language and Communication (Continued)",radio,"13. How often do you have difficulty understanding reading material which at one time you could have understood?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paofilang2,,
paofi14lang,comprehensive_neuropsych_assessment_328741,,radio,"14. Is it easier to have people show you things than it is to have them tell you about things?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paofilang2,,
paofi15lang,comprehensive_neuropsych_assessment_328741,,radio,"15. When you speak, are your words indistinct or improperly pronounced?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paofilang2,,
paofi15alang,comprehensive_neuropsych_assessment_328741,,radio,"15a. If this happens, how often do people have difficulty understanding what words you are trying to say?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,,,,paofilang2,,
paofi16lang,comprehensive_neuropsych_assessment_328741,,radio,"16. How often do you have difficulty thinking of the names of things?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paofilang2,,
paofi17lang,comprehensive_neuropsych_assessment_328741,,radio,"17. How often do you have difficulty thinking of the words (other than names) for what you want to say?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paofilang2,,
paofi18lang,comprehensive_neuropsych_assessment_328741,,radio,"18. When you write things, how often do you have difficulty forming the letters correctly?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paofilang2,,
paofi19lang,comprehensive_neuropsych_assessment_328741,,radio,"19. Do you have more difficulty spelling or make more errors in spelling, than you used to?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paofilang2,,
paofi20hands,comprehensive_neuropsych_assessment_328741,"SCALE III: Use of Hands",radio,"20. How often do you have difficulty performing tasks with your right hand (including such things as writing, dressing, carrying, lifting, sports, cooking, etc.)?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paofihands,,
paofi21hands,comprehensive_neuropsych_assessment_328741,,radio,"21. How often do you have difficulty performing tasks with your left hand?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paofihands,,
paofi22sensperc,comprehensive_neuropsych_assessment_328741,"SCALE IV: Sensory-Perceptual",radio,"22. How often do you have difficulty feeling things with your right hand?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paofisensperc,,
paofi23sensperc,comprehensive_neuropsych_assessment_328741,,radio,"23. How often do you have difficulty feeling things with your left hand?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paofisensperc,,
paofi24sensperc,comprehensive_neuropsych_assessment_328741,,radio,"24. Lately do you have more difficulty than you used to in seeing all of what you are looking at, or all of what is in front of you (i.e., are some areas of your vision less clear or less distinct than others)?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paofisensperc,,
paofi24asensperc,comprehensive_neuropsych_assessment_328741,,radio,"24a. If you are having this kind of trouble with your vision, is it more difficult to see things located to your right or to your left?","1, To the Right | 2, To the Left | 3, Cannot tell whether one side is worse than the other",,,,,,,,,,,,
paofi25cog,comprehensive_neuropsych_assessment_328741,"SCALE V: Higher Level Cognitive and Intellectual Functions",radio,"25. How often do your thoughts seem confused or illogical?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paoficog,,
paofi26cog,comprehensive_neuropsych_assessment_328741,,radio,"26. How often do you become distracted from what you are doing or saying by insignificant things which at one time you have been able to ignore?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paoficog,,
paofi27cog,comprehensive_neuropsych_assessment_328741,,radio,"27. How often do you become confused about (or make a mistake about) where you are?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paoficog,,
paofi28cog,comprehensive_neuropsych_assessment_328741,,radio,"28. How often do you have difficulty finding your way about?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paoficog,,
paofi29cog,comprehensive_neuropsych_assessment_328741,,radio,"29. Do you have more difficulty now than you used to in calculating or working with numbers (including managing finances, paying bills, etc.)?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paoficog,,
paofi30cog,comprehensive_neuropsych_assessment_328741,,radio,"30. Do you have more difficulty now than you used to in planning or organizing activities (i.e., deciding what to do and how it should be done)?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paoficog,,
paofi31cog,comprehensive_neuropsych_assessment_328741,,radio,"31. Do you have more difficulty now than you used to in solving problems that come up around the house, at your job, etc.? (i.e., when something new has to be accomplished, or some new difficulty comes up, do you have more trouble figuring out what should be done and how to do it?)","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paoficog,,
paofi32cog,comprehensive_neuropsych_assessment_328741,,radio,"32. Do you have more difficulty than you used to in following directions to get somewhere?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paoficog,,
paofi33cog,comprehensive_neuropsych_assessment_328741,,radio,"33. Do you have more difficulty than you used to in following instructions concerning how to do things?","1, Almost Always | 2, Very Often | 3, Fairly Often | 4, Once in a While | 5, Very Infrequently | 6, Almost Never",,,,,,,y,,,paoficog,,
paofi34cog,comprehensive_neuropsych_assessment_328741,,radio,"34. Do you think you are as ""bright"" now as you were before your accident or present illness?","1, Yes | 2, No | 3, I Don't Know",,,,,,,y,,,,,
paofi35work,comprehensive_neuropsych_assessment_328741,"SCALE VI: Work",radio,"35. Do you presently hold a job?","1, Yes, Full Time | 2, Yes, Part Time | 3, No",,,,,,,y,,,,,
paofi36workrole,comprehensive_neuropsych_assessment_328741,,notes,"36. What kind of job do you have, and briefly describe your duties:",,,,,,,"[paofi35work] = '1' or [paofi35work] = '2'",y,,,,,
paofi37worksalary,comprehensive_neuropsych_assessment_328741,,text,"37. What is your salary per month: ",,,,,,,"[paofi35work] = '1' or [paofi35work] = '2'",y,,,,,
paofi38worksupe,comprehensive_neuropsych_assessment_328741,,radio,"38. On your job, how much supervision is being given to you now?","1, I am closely supervised in almost everything I do. | 2, There is a supervisor around most of the time, but supervision is not really constant. | 3, I receive only occasional supervision, though there may be more when a new job is given or after a job has been completed. | 4, I usually receive supervision only when being given a new job to do, or after a job has been completed. | 5, I function very much on my own at work. | 6, I am self-employed.",,,,,,"[paofi35work] = '1' or [paofi35work] = '2'",y,,,,,
paofi39student,comprehensive_neuropsych_assessment_328741,,radio,"39. Are you a student?","1, Yes, Full Time | 2, Yes, Part Time | 3, No",,,,,,,y,,,,,
paofi40studentspecialed,comprehensive_neuropsych_assessment_328741,,radio,"40. Are you currently taking regular academic courses or special education courses?","1, All special education courses | 2, Mostly special education courses | 3, About an equal number of each type of course | 4, Mostly regular academic courses | 5, All regular academic courses",,,,,,"[paofi39student] = '1' or [paofi39student] = '2'",y,,,,,
paofi41studentgrades,comprehensive_neuropsych_assessment_328741,,radio,"41. What is your approximate grade point average in regular academic courses only (i.e. leaving out grades in special education courses)?","1, Better than 3.7 (A) | 2, 3.0 to 3.6 (B to A minus) | 3, 2.0 to 2.9 (C to B minus) | 4, 1.0 to 1.9 (D to C minus) | 5, Less than 1.0 (F)",,,,,,"[paofi39student] = '1' or [paofi39student] = '2'",y,,,,,
npscan,comprehensive_neuropsych_assessment_328741,,file,"Scan scored protocol and upload it here.",,,,,,,,y,,,,,
kmsklifefreq_alc,kmsk,"Alcohol - Lifetime",dropdown,"1. At the time in your life when you were drinking the most alcohol, were you drinking it: (FREQUENCY)","5, 5 points - Every day, or nearly every day | 4, 4 points - Three or more days a week | 3, 3 points - Every weekend, or most weekends and holidays | 2, 2 points - Once a week or less | 1, 1 point - A few times a year, on special occasions | 0, 0 points - Never",,,,,,,y,,,,,
kmsklifewhen_alc,kmsk,,text,"2. When was this?",,,,,,,"[kmsklifefreq_alc] >0",y,,,,,
kmsklifecurrent_alc,kmsk,,text,"3. Are you drinking currently?",,,,,,,"[kmsklifefreq_alc] >0",y,,,,,
kmsklifedur_alc,kmsk,,dropdown,"4. How long did this pattern of drinking last? (DURATION)

(If Frequency score = 0, 1, or 2, score Duration as 0)","3, 3 points - More than a year | 2, 2 points - Six months to one year | 1, 1 point - Less than six months | 0, 0 points - N/a",,,,,,,y,,,,,
kmsklifedurcheck_alc,kmsk,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">Check Frequency and Duration scores.</span></p> <p><span style=""color: #e03e2d;"">If Frequency score = 0, 1, or 2, score Duration as 0.</span></p> <p><span style=""color: #e03e2d;"">If Frequency score >= 3, score Duration as > 0.</span></p></div>",,,,,,,"([kmsklifefreq_alc]<3 and [kmsklifedur_alc]>0)
or ([kmsklifefreq_alc]>=3 and [kmsklifedur_alc]='0')",,,,,,
kmsklifeqty_alc,kmsk,,dropdown,"5. During this time when you were drinking the most, how many drinks at a sitting or in a day would you typically drink? (AMOUNT)","5, 5 points - Ten or more | 4, 4 points - Five-ten | 3, 3 points - Four-five | 2, 2 points - Two-three | 1, 1 point - One-two | 0, 0 points - None",,,,,,,y,,,,,
kmsklifeqtycheck_alc,kmsk,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">Check Frequency and Amount scores.</span></p> <p><span style=""color: #e03e2d;"">If Frequency score = 0, score Amount as 0.</span></p> <p><span style=""color: #e03e2d;"">If Frequency score > 0, score Amount as > 0.</span></p></div>",,,,,,,"([kmsklifefreq_alc]='0' and [kmsklifeqty_alc]>0) or
([kmsklifefreq_alc]>0 and [kmsklifeqty_alc]='0')",,,,,,
kmsklifechoice_alc,kmsk,,dropdown,"6. Is alcohol your drug of choice?","1, Yes | 0, No",,,,,,"[kmsklifefreq_alc] >0",y,,,,,
kmsklifeage_alc,kmsk,,text,"7. Age of first use:",,,integer,0,90,,"[kmsklifefreq_alc] >0",y,,,,,
kmsklifetotal_alc,kmsk,,calc,"Total Lifetime Alcohol Score",[kmsklifefreq_alc]+[kmsklifedur_alc]+[kmsklifeqty_alc],,,,,,,y,,,,,
kmsklifecomments_alc,kmsk,,notes,Comments:,,,,,,,,,,,,,
kmskcurrfreq_alc,kmsk,"Alcohol - 30 Days",dropdown,"1. During the last 30 days, how many days did you drink alcohol? (FREQUENCY)","5, 5 points - Fifteen to thirty days | 4, 4 points - Six to fourteen days | 3, 3 points - Four to five days | 2, 2 points - Two to three days | 1, 1 point - One day | 0, 0 points - None",,,,,,,y,,,,,
kmskcurrdur_alc,kmsk,,dropdown,"2. How long has this current pattern of drinking been going on? (DURATION)","3, 3 points - More than a year | 2, 2 points - Six months to one year | 1, 1 point - Less than six months | 0, 0 points - N/a",,,,,,,y,,,,,
kmskcurrdurcheck_alc,kmsk,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">Check Frequency and Duration scores.</span></p> <p><span style=""color: #e03e2d;"">If Frequency score = 0, score Duration as 0.</span></p> <p><span style=""color: #e03e2d;"">If Frequency score > 0, score Duration as > 0.</span></p></div>",,,,,,,"([kmskcurrfreq_alc]='0' and [kmskcurrdur_alc]>0) or
([kmskcurrfreq_alc]>0 and [kmskcurrdur_alc]='0')",,,,,,
kmskcurrqty_alc,kmsk,,dropdown,"3. During the last month, when you were drinking the most, how many drinks at a sitting or in a day would you typically drink? (AMOUNT)","5, 5 points - Ten or more | 4, 4 points - Five-ten | 3, 3 points - Four-five | 2, 2 points - Two-three | 1, 1 point - One-two | 0, 0 points - None",,,,,,,y,,,,,
kmskcurrqtycheck_alc,kmsk,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">Check Frequency and Amount scores.</span></p> <p><span style=""color: #e03e2d;"">If Frequency score = 0, score Amount as 0.</span></p> <p><span style=""color: #e03e2d;"">If Frequency score > 0, score Amount as > 0.</span></p></div>",,,,,,,"([kmskcurrfreq_alc]='0' and [kmskcurrqty_alc]>0) or
([kmskcurrfreq_alc]>0 and [kmskcurrqty_alc]='0')",,,,,,
kmskcurrchoice_alc,kmsk,,dropdown,"4. Is alcohol your drug of choice?","1, Yes | 0, No",,,,,,"[kmskcurrfreq_alc] > 0",y,,,,,
kmskcurrtotal_alc,kmsk,,calc,"Total 30-Day Alcohol Score",[kmskcurrfreq_alc]+[kmskcurrdur_alc]+[kmskcurrqty_alc],,,,,,,y,,,,,
kmskcurrcomments_alc,kmsk,,notes,Comments:,,,,,,,,,,,,,
kmsklifefreq_tobac,kmsk,"Tobacco - Lifetime",dropdown,"1. At the time in your life when you were smoking the most (a) cigarettes or (b) cigars, were you smoking: (FREQUENCY)","5, 5 points - At regular intervals throughout the day, every day or most days | 4, 4 points - In clusters, at specific times of day like coffee breaks or lunchtime, every day or most days | 3, 3 points - Once a day, every day or most days | 2, 2 points - 20 - 100 times in lifetime | 1, 1 point - Fewer than 20 times in lifetime | 0, 0 points - Never smoked",,,,,,,y,,,,,
kmsklifewhen_tobac,kmsk,,text,"2. When was this?",,,,,,,"[kmsklifefreq_tobac] >0",y,,,,,
kmskclifecurrent_tobac,kmsk,,text,"3. Are you smoking currently?",,,,,,,"[kmsklifefreq_tobac] >0",y,,,,,
kmsklifedur_tobac,kmsk,,dropdown,"4. How long did this pattern of smoking last? (DURATION)

(If Frequency score = 0, 1, or 2, score Duration as 0)","3, 3 points - More than a year | 2, 2 points - Six months to one year | 1, 1 point - Less than six months | 0, 0 points - N/a",,,,,,,y,,,,,
kmsklifedurcheck_tobac,kmsk,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">Check Frequency and Duration scores.</span></p> <p><span style=""color: #e03e2d;"">If Frequency score = 0, 1, or 2, score Duration as 0.</span></p> <p><span style=""color: #e03e2d;"">If Frequency score >= 3, score Duration as > 0.</span></p></div>",,,,,,,"([kmsklifefreq_tobac]<3 and [kmsklifedur_tobac]>0)
or ([kmsklifefreq_tobac]>=3 and [kmsklifedur_tobac]='0')",,,,,,
kmsklifeqty_tobac,kmsk,,dropdown,"5. How many packs per day of cigarettes would you typically smoke, at your heaviest use? (AMOUNT)","5, 5 points - Two or more | 4, 4 points - One-two | 3, 3 points - One | 2, 2 points - Half a pack | 1, 1 point - Less than half a pack | 0, 0 points - None",,,,,,,y,,,,,
